Match ID,Datetime,Map ID,User ID,Username,Mods,Score
111534249,2023-12-02 03:34:54+00:00,4393040,7341183,ASecretBox,HDNF,458243
111534249,2023-12-02 03:34:54+00:00,4393040,9938943,aknzx,NF,717590
111534249,2023-12-02 03:34:54+00:00,4393040,8195473,cyo,NF,419127
111534249,2023-12-02 03:34:54+00:00,4393040,7562902,mrekk,HRNF,645563
111534249,2023-12-02 03:34:54+00:00,4393040,13380270,Kama,NF,468327
111534249,2023-12-02 03:34:54+00:00,4393040,7813296,hydrogen bomb,HRNF,714260
111534249,2023-12-02 03:34:54+00:00,4393040,4787150,Vaxei,NF,930413
111534249,2023-12-02 03:34:54+00:00,4393040,7075211,tekkito,HDNF,682369
111534249,2023-12-02 03:49:00+00:00,131564,8195473,cyo,DTNF,470370
111534249,2023-12-02 03:49:00+00:00,131564,7562902,mrekk,DTNF,425761
111534249,2023-12-02 03:49:00+00:00,131564,7341183,ASecretBox,DTNF,319192
111534249,2023-12-02 03:49:00+00:00,131564,11806306,Zyntex,DTNF,373611
111534249,2023-12-02 03:49:00+00:00,131564,13380270,Kama,DTNF,474679
111534249,2023-12-02 03:49:00+00:00,131564,7813296,hydrogen bomb,DTNF,582438
111534249,2023-12-02 03:49:00+00:00,131564,4787150,Vaxei,DTNF,466260
111534249,2023-12-02 03:49:00+00:00,131564,7075211,tekkito,DTNF,378336
111534249,2023-12-02 03:55:12+00:00,1428309,7562902,mrekk,HRNF,403642
111534249,2023-12-02 03:55:12+00:00,1428309,8195473,cyo,HRNF,344948
111534249,2023-12-02 03:55:12+00:00,1428309,7341183,ASecretBox,HRNF,347435
111534249,2023-12-02 03:55:12+00:00,1428309,11806306,Zyntex,HRNF,417329
111534249,2023-12-02 03:55:12+00:00,1428309,4830687,BoshyMan741,HRNF,543451
111534249,2023-12-02 03:55:12+00:00,1428309,13380270,Kama,HRNF,496022
111534249,2023-12-02 03:55:12+00:00,1428309,7813296,hydrogen bomb,HRNF,649561
111534249,2023-12-02 03:55:12+00:00,1428309,4787150,Vaxei,HRNF,389911
111534249,2023-12-02 03:06:49+00:00,4393042,9938943,aknzx,NF,413219
111534249,2023-12-02 03:06:49+00:00,4393042,7341183,ASecretBox,NF,532323
111534249,2023-12-02 03:06:49+00:00,4393042,7562902,mrekk,HDNF,680844
111534249,2023-12-02 03:06:49+00:00,4393042,3068044,Dumii,HRNF,104597
