UserID,Username,GlobalRank,PP,RME,Location
20118070,idiot stick,39331,6281.18,,United States
24190187,Chou Tzuyoda,87656,4964.72,,Philippines
10701875,s0me,9651,8584.11,,Vietnam
9146185,siroitora,26884,6903.95,,South Korea
19890921,ColdSnowFox,33269,6555.06,,China
1355695,z980838928,2466,10908.4,,China
13381374,zak1e,7082,9099.94,,Vietnam
10958852,qstronaut,1905,11383.0,,Singapore
17766423,komurii,14520,7918.46,,Vietnam
16128060,Meownomia,52839,5797.45,,Vietnam
9671045,AkiraGAD,113077,4534.69,,Indonesia
8837858,N2Oe-,1165389,669.159,,China
22325988,leg912,144857,4086.7,,Malaysia
17522180,XIAO Lingfeng,98442,4770.87,,China
20023845,Suprhi,22728,7177.54,,France
1460263,Pain,413,14197.6,,South Korea
14225574,vovontin,16923,7661.47,,Kazakhstan
12215507,Moonlit111,6073,9379.58,,China
16296371,FireRed88,132678,4249.41,,Vietnam
12160299,kitty_mix,48024,5957.01,,Russian Federation
7172340,NekoKamui,1927,11360.8,,Taiwan
5964035,Miracle,4826,9770.37,,China
6489819,-Kusakabe-,11872,8255.73,,Vietnam
18948749,t4hN,3638,10246.2,,Vietnam
9502281,- Xiaoluoli -,781140,1131.44,,China
14165027,lonq noir,1107,12403.2,,France
18818123,roxy on osu,3973,10111.1,,Italy
19261138,poodle_,10231,8498.63,,United States
13668175,FaZe_Rakuen,88094,4956.69,,Malaysia
12876492,chimkun,8605,8767.52,,Vietnam
13626098,Jolene,4859,9761.23,,Malaysia
16987040,ReiJun,9545,8600.74,,Vietnam
4956171,Fukibaru,206090,3426.33,,France
9523661,Tabletti,2584,10825.6,,Finland
10040214,KaiWhen,18448,7517.58,,Ireland
11332703,PoSharTo,9733,8570.61,,Ireland
9652467,Hardstcukc 2,16286,7723.71,,France
9505673,crissof,15342,7827.88,,Poland
848961,_Casiofx580vnx,2138,11188.6,,Vietnam
9583308,Tume,31545,6642.53,,Finland
27108477,kciceblue,82444,5066.61,,United Kingdom
18047706,seeeen11l1,10853,8407.38,,Philippines
27234119,yakotenok,104539,4669.6,,Ukraine
24879119,Haku-,9088,8680.88,,Uruguay
6781232,Shocola,27536,6863.52,,Malaysia
12684943,amatsukaUto,6892,9145.07,,Switzerland
2165650,mcy4,51,18346.1,,Hong Kong
11558544,RemTouk,20335,7359.12,,Belarus
1274585,tse6969,68020,5383.85,,Hong Kong
13806042,s4nrice,75392,5216.52,,Russian Federation
12904237,Gabey,1069,12471.7,,United States
11258741,Robed,10246,8497.01,,Singapore
8500628,NathanSS,16864,7666.07,,Philippines
15124626,reQueue,214486,3352.82,,Australia
30678014,MyAngelChicony,372705,2345.51,,Russian Federation
17686114,[Crz]Rumia,,0,,China
13055978,Po1SoN3SS,11663,8282.36,,Kazakhstan
11252336,aalexsu,18500,7512.68,,United States
10343292,Zeph2003,10174,8509.03,,Malaysia
3148418,Terces,5000,9713.3,,Netherlands
11237739,DeHosly,58249,5637.16,,Russian Federation
12805967,Lukiii,612,13493.8,,Germany
21261842,Urek,73840,5251.24,,United States
18987482,winclock,58949,5618.18,,Kazakhstan
9578651,Gustav Simeegus,102667,4699.44,,Poland
13156947,linnyowo,91060,4902.85,,South Africa
10853073,Puyui,1349,12033.0,,Taiwan
11134074,Wexxxxxy,13160,8086.65,,Belarus
16222567,_kurayami,4235,10007.1,,Russian Federation
