UserID,Username,GlobalRank,PP,RME,Location
23988536,IiIy,25961,6959.0,,Vietnam
14146602,zSidd,58634,5626.06,,Philippines
14607058,FlameOnMe,42849,6142.73,,Japan
4647311,N i s u,10673,8430.97,,Taiwan
16552799,Nijouin Hazuki,41800,6181.51,,China
7945343,232333,19212,7450.01,,China
14726718,-YeLing-,3110,10504.9,,China
9685975,Okayu ASMR,71476,5305.34,,United States
18035031,KosekiBiboo,9843,8552.72,,United Kingdom
5449433,Ui chan,3193,10466.8,,Vietnam
14977562,axyb,1220,12236.7,,Vietnam
16407150,Hearn,41434,6195.61,,Indonesia
10318380,lovely_hyahya,1141037,690.256,,China
13935409,Hardstcukc,4150,10041.5,,France
10695930,SakurakoujiRuna,110684,4572.56,,Hong Kong
6535559,Ink_Sakura,103420,4687.84,,China
13865320,Snowy5441,1885,11410.3,,Malaysia
5772839,Pablis,57004,5673.37,,Poland
4464845,Aimseky,4977,9718.59,,China
9991392,Ramilla,10615,8439.75,,Thailand
20608807,RADzz12,37321,6366.17,,Malaysia
9043058,-Inui Sana-,11351,8331.04,,China
3139364,Joseph Jostar,1200,12266.6,,China
17469191,Wubip,26931,6899.59,,Vietnam
17258960,BitterHeat,29787,6734.41,,United Kingdom
18323396,golem de caca,273,14948.3,,France
10845761,frewayk,20084,7378.49,,Italy
15262298,Okkens,24202,7075.32,,Germany
15799171,Platizem,68861,5364.08,,Singapore
14953642,Phoeni_,1701,11574.9,,Vietnam
9845103,Sigge,22879,7167.86,,Sweden
12139352,NeoPixel201,7264,9058.18,,United Kingdom
15800373,NyghtHawk,76887,5184.44,,France
12182913,suppejeger,137117,4189.48,,Norway
15736743,superrbaha,18318,7528.15,,Kazakhstan
14623152,stumphole145,5022,9705.97,,Malaysia
8726490,souljaboytellem,6085,9376.43,,Ireland
13313641,astanie,28203,6824.95,,Russian Federation
14964749,raifiu,12115,8221.99,,Vietnam
7712676,perfectfree,7346,9038.65,,United States
13136475,veuxi,3338,10397.2,,Russian Federation
13600612,Its not Marvin,47872,5961.73,,Malaysia
24454271,Filoxen,99953,4746.26,,Ukraine
18983862,finalevening,5860,9439.4,,Uruguay
12147277,-Kedama,506,13818.6,,Thailand
9313951,Tsuwagi,122,16475.6,,Hong Kong
16227745,F2X,463,13962.9,,Hong Kong
15441612,Th1,7554,8990.23,,Germany
9364594,Sagisawa Arisu,3908,10141.1,,Malaysia
11098454,Akezaris,9393,8628.98,,Philippines
5425046,Vespirit,609,13501.2,,Canada
18406908,Sir Sav,36024,6425.81,,Singapore
10996667,Adam40505,23644,7112.78,,South Africa
8105655,-Vid,1497,11811.3,,Germany
19254428,Ottru,97376,4788.65,,United States
8586018,[GB]Reisen,3284180,46.9459,,China
9974314,NaFish,4692,9816.26,,Indonesia
4520333,Eliteronix,31187,6661.8,,Germany
17062924,HuyChann,14465,7925.8,,Vietnam
9019735,Myztical_,145769,4074.9,,Sweden
13705175,ludo,197533,3506.04,,Norway
10825812,Yasui,2245,11095.7,,Germany
7780605,Fleh,233,15306.8,,Germany
10526247,nxxs,143667,4102.26,,Indonesia
13648653,GSDark,1678,11605.2,,Singapore
17124116,MetalRain027,61158,5557.7,,South Africa
760389,Manasoy,7362,9036.36,,China
15120913,VadimVas,19229,7446.59,,Russian Federation
11268782,Togipy,25554,6985.3,,Belarus
16197865,Supernye,11881,8254.37,,Australia
12585048,SurvivorX4,1223,12235.1,,China
5936405,-xxx Rumia-,46772,5999.93,,China
17467899,Qumania,7959,8903.84,,France
3812276,Nice Nature,6091,9374.32,,Taiwan
4281350,up44,1655,11640.9,,Czechia
12143654,Umee,4142,10043.4,,Vietnam
2800253,fnayR,14653,7902.68,,Indonesia
12457069,AlexxFlexing,41205,6204.61,,Russian Federation
17998941,Iite,121978,4402.72,,United States
6085929,Sliimex3,2509,10878.4,,Germany
7989469,Zefkiel,33611,6538.35,,Taiwan
23058662,Blueberry_,21193,7290.57,,United States
