UserID,Username,GlobalRank,PP,RME,Location
9501251,ChillierPear,371,14370.7,,United States
5315077,vdc,4355,9952.77,,Philippines
1274798,MoNaMiC,11376,8325.58,,South Korea
2905026,The_Last_Noise,28777,6792.76,,Taiwan
8120040,feschen,77564,5169.61,,China
24707498,Ogurizi,81992,5074.95,,China
5242158,[Crz]Makii,1525,11786.0,,China
20748423,Kirnwa,33958,6521.23,,Vietnam
13656879,yamaro,27158,6884.97,,Germany
10522620,Egida,31919,6625.27,,France
11488178,veryasian,4618,9841.1,,United States
8888420,imAcedia,38294,6323.12,,Indonesia
16277321,[GB]nyasun,307980,2684.29,,China
3257847,MyzeJD,8591,8771.64,,France
21277276,MyAngelDiana,50251,5880.84,,China
24013879,Snte4es,41976,6173.73,,Hong Kong
17010088,AsianEnd,1821,11474.3,,Malaysia
7172051,FadingAway,34922,6475.36,,Russian Federation
9834366,ashwagafu,24260,7070.49,,Philippines
3580864,Niwata,1926,11359.5,,Thailand
6025925,-Private,34119,6513.68,,Malaysia
11137266,18870,9097,8680.56,,China
11042554,nana7shi,4172,10032.7,,China
8945565,budget boydn,21004,7305.74,,Vietnam
9586445,kailburn,10851,8407.08,,South Korea
9458866,Vlf,,0,,China
21101695,Kazakhstan,17710,7584.94,,Kazakhstan
15399730,-Poggi-,19301,7440.38,,Italy
18352115,Tey,41952,6174.67,,Germany
15275211,Sonak,51016,5856.17,,Peru
8186536,Meow_Son,14306,7942.79,,Taiwan
4785993,Terriama,16236,7729.3,,United Kingdom
17890673,Mykado le gato,41039,6211.77,,France
21599336,Akeno sup,21976,7230.16,,France
22185836,rxys,29499,6751.24,,Kazakhstan
14443032,LickWidFyre,4917,9740.04,,United States
14486437,xtxa,31285,6656.52,,United Kingdom
12916029,Bulkin,78168,5156.14,,Russian Federation
8669198,BabyChickenPL,14711,7895.9,,Poland
14447878,Lujeol,1149,12343.7,,South Korea
15381321,Nyariri,40311,6241.83,,South Korea
28480820,Lenny Ft Wein,58457,5631.28,,Indonesia
14509964,Hoshizora_3,38095,6331.17,,Taiwan
16845442,ayudame por fa,73808,5251.87,,Uruguay
