"UserID","Username","GlobalRank","PP","RME","RMERanking","Location"
12934429,"AltheaFran",5394,9581.31,1451.33468110253,8529,"Russian Federation"
17340164,"WalterMuergano",243424,3116.28,1451.20923986389,8530,"Ecuador"
14249406,"Bratsandio",88117,4956.88,1451.14626776605,8531,"Austria"
17439666,"Niotid",673733,1344.06,1451.09086766191,8532,"Russian Federation"
5398547,"xSkewer",25110,7015.62,1451.06803366227,8533,"Canada"
10857717,"SpooKy7u7",16856,7666.51,1451.05988001888,8534,"Dominican Republic"
2361632,"My Suck Aim",14733,7893.74,1451.05967685909,8535,"China"
12139983,"Diez-",1390072,507.354,1451.04038210973,8536,"Türkiye"
21367650,"AlejandroGTR",60128,5585.12,1451.03799430966,8537,"Venezuela"
3186434,"RuskiTurbo",14534,7916.89,1451.03618156968,8538,"Finland"
4229240,"Geniance",122258,4397.72,1451.02265030865,8539,"Australia"
14697856,"LazyChildren",84082,5034.5,1450.99896747436,8540,"China"
30374398,"shevy1661",22159,7217.51,1450.98770261768,8541,"Russian Federation"
19693963,"GameKnight",31405,6651.04,1450.98174785159,8542,"Singapore"
6159305,"_Kuroni_",4344,9959.8,1450.92414412388,8543,"Vietnam"
14269506,"nevqr",2982,10579.4,1450.91673714609,8544,"Slovakia"
9931217,"- Fubukiii",11900,8252.53,1450.91117742184,8545,"Vietnam"
15141609,"hxchi",9709,8575.47,1450.90787770884,8546,"United States"
16201107,"hivno",10577,8445,1450.85737442553,8547,"Ukraine"
10804195,"Solar722",2176,11150.7,1450.84948958455,8548,"United States"
28684523,"OhShucksBuddy",37124,6376.06,1450.82218705487,8549,"Canada"
13789292,"P0lt0s1k",20296,7362.69,1450.77585090692,8550,"Russian Federation"
11740603,"ayayrom",11516,8302.62,1450.76831351276,8551,"United States"
7083420,"Shime-",32485,6594.65,1450.72446031311,8552,"Philippines"
21877230,"DarNics",22598,7187.98,1450.71435041448,8553,"Lithuania"
6751959,"Aquaflame14",151781,3998.83,1450.68627660279,8554,"United States"
10784883,"itCBuHTEP",6437,9276.44,1450.64254050767,8555,"Russian Federation"
3297385,"Terra",5308,9609.63,1450.58694794767,8556,"United States"
23696580,"Ryanasdf",135156,4215.29,1450.56765100012,8557,"Taiwan"
10553321,"lukey",16341,7718.68,1450.50901915473,8558,"Finland"
8348008,"Caglton",98252,4774.09,1450.46464043722,8559,"Sweden"
2601333,"Licana",34933,6474.99,1450.45995502676,8560,"United States"
28702680,"jintket_2",158956,3909.26,1450.45541663029,8561,"Vietnam"
2879608,"C2H5NO2",35671,6441.89,1450.34917728936,8562,"South Korea"
1978491,"IkaWaAyuMu",384476,2291.75,1450.3448839496,8563,"Thailand"
22530176,"qrchie",9289,8646.01,1450.32301621112,8564,"United Kingdom"
23610127,"[ Kimetsu ]",52098,5821.75,1450.31320311616,8565,"Russian Federation"
18714501,"SenoeN",129286,4296.22,1450.30841798411,8566,"Ukraine"
11998549,"turnip",100772,4732.08,1450.28108746599,8567,"United States"
26133850,"-Lean-",3385918,40.8643,1450.23810279052,8568,"Nicaragua"
12941349,"Raidenduck",31116,6665.39,1450.23651757791,8569,"United States"
