UserID,Username,GlobalRank,PP,RME,Location
14436770,LycaonMyHusband,37789,6346.12,,Singapore
13768461,yuan,28435,6812.8,,Philippines
14709263,HDDTHR,2389,10979.3,,South Korea
9547561,Mema,3013,10558.1,,South Korea
16107091,MKxiao,34920,6475.39,,China
4755314,FlashoFoSho,953,12641.7,,United States
1855908,Ask to Wind,14182,7958.74,,China
9587896,SIay,18296,7529.34,,Vietnam
10722794,Inquisitives,1601,11695.9,,Singapore
9872563,Thof,12456,8179.19,,Vietnam
12351533,HosizoraN,11078,8372.36,,Vietnam
9735548,fixca,29565,6747.24,,South Korea
24449770,1145810,1323276,550.033,,China
17053515,MomoNagi,120076,4430.11,,France
9697708,VialVistas,13331,8068.09,,China
16430553,- Sprite -,2316,11037.0,,Spain
4560592,NoGari,10453,8464.82,,South Korea
17285852,chirumiru,69167,5357.19,,Poland
3826301,A Maker,6662,9213.41,,China
14053835,dragonlemmy,22084,7222.33,,Malaysia
23170418,Guremi,46472,6009.94,,Indonesia
12609921,Mangent,10371,8477.62,,China
3917377,-- - --,29904,6728.71,,China
11225861,-pek,26821,6907.82,,Vietnam
21939379,ngocduy810,67170,5405.14,,Vietnam
14384082,Hitomi5237,1651016,372.445,,China
9367417,-Ryn-,14914,7872.58,,Vietnam
12532297,[-Elaina-],58209,5638.07,,Indonesia
14563600,4zur1,89225,4935.99,,Finland
19191708,ShiroNai,63580,5493.82,,Peru
11863174,Frostleaf,13130,8089.67,,Vietnam
13988393,Baechuu,10043,8527.62,,Singapore
16383361,ChinatsuShigure,63401,5497.85,,Vietnam
7276846,Taevas,142387,4118.79,,France
6282627,YouVayPay,32065,6616.48,,United Kingdom
13972957,furytail,12278,8202.38,,United Kingdom
5485349,yoyotazit,17033,7649.51,,France
6867478,Buszek,9995,8533.22,,Poland
11562243,Ramon 2,1190,12281.0,,Panama
380836,Tengu,12410,8185.06,,South Korea
32005855,DuckyMachete,142570,4116.67,,United Kingdom
8015505,Demy-,17448,7608.09,,Canada
15975275,NEW GOD,7854,8925.39,,South Korea
9188548,Juniper,134009,4231.22,,United States
21435330,NewWazeBeatsMe,252,15159.7,,Peru
9190726,-iamme,9275,8648.96,,Indonesia
10829419,shion,253,15153.3,,Hong Kong
6491662,mirurin_,34482,6496.58,,Belarus
20352072,BlaskKoishi,69956,5338.71,,Singapore
