UserID,Username,GlobalRank,PP,RME,Location
13837396,RealDeathmatch,102710,4699.35,,Canada
8315885,Xyphox,21198,7290.02,,Philippines
8991722,Atipir,2073,11234.2,,South Korea
23180405,Meagan,53928,5763.57,,Australia
3859111,Beardedhippo,5593,9521.27,,Austria
18443135,[Satori],85439,5006.99,,China
19022623,BRK15,61397,5550.83,,Germany
3367476,Knd,12238,8205.95,,China
25129957,Zorokii,22388,7201.46,,Philippines
7717845,Avery,28580,6804.11,,United States
10649224,greenyoshiyt,8805,8728.38,,Vietnam
16725953,NHaiAnh07,16192,7733.54,,Vietnam
8271436,RiceSS,145387,4079.88,,China
7304075,Kuiiiiteeee,1769465,324.11,,China
9955635,Raesin,123601,4378.28,,China
8798774,KanuaK,37243,6369.2,,China
11443437,[Karcher],42,18681.9,,South Korea
14174951,Heony,28602,6802.74,,South Korea
18766704,Shion Yorigami,185188,3623.51,,Philippines
7111118,Anya Maki,2589,10823.1,,China
13335554,YankeeSnow213,16423,7708.57,,Malaysia
16587039,IFierz,105153,4659.38,,Indonesia
6938658,Azureus,16650,7687.52,,China
694480,Hakumo Ai,13352,8063.61,,China
13141032,Liz to Aoi Tori,6611,9227.65,,Vietnam
10085090,Carpihat,429986,2091.12,,China
4608215,durashcka,10746,8421.72,,Belarus
6482909,-Yuyuko-,7157,9082.33,,South Korea
20133312,WallRuss,50308,5878.87,,Indonesia
14926302,OBAMAJR4THERWIN,31362,6652.32,,Singapore
13238121,smthelse,9995,8534.06,,Vietnam
11918602,Breast,9374,8633.67,,Malaysia
13688990,Lunar_,14270,7948.65,,United Kingdom
15939997,Arson1st,7130,9088.9,,Türkiye
14293652,Low budget Mosa,14843,7882.14,,Germany
13310147,Uzumaki,2936,10608.0,,United States
20876297,Rikuyaosu,140446,4145.0,,Germany
9098192,jakk,30810,6681.87,,United Kingdom
29250469,Gazes,67703,5392.03,,India
5285044,Kusiu,6760,9185.3,,Poland
8165181,revoh,1384,11979.3,,United States
12048072,The Flower Man,23903,7093.65,,Vietnam
16055740,Goaw,17826,7571.9,,Thailand
19052463,Rizei,4177,10032.1,,Thailand
10776788,[ Momoring ],43195,6128.65,,South Korea
14906490,quangduy123321,39053,6292.21,,Vietnam
5187207,afriendlightz,61131,5557.89,,Singapore
18546429,- Touko -,9193,8664.25,,United States
5164938,-Wize,19884,7394.48,,Kuwait
19595432,poltorawwwka,65448,5446.82,,Kazakhstan
8218190,Japeachi Taho,28893,6786.4,,Philippines
29821171,hachimori_wtf,24877,7029.4,,Philippines
8226107,Chiyuu,974,12593.5,,Malaysia
14783137,Kriatix,7126,9090.85,,Vietnam
18403789,RzT,100735,4732.57,,Russian Federation
2511839,Amamya Kokoro,213,15494.2,,South Korea
10702235,[Crz]Caicium,35508,6449.19,,China
11772019,D3rpyB01,8209,8848.42,,Singapore
17440191,Equidimensional,961,12623.4,,Saudi Arabia
11149940,meofcourse,5427,9570.29,,Vietnam
17795498,young tplc,13561,8039.61,,Germany
10989656,diorytt,70700,5321.13,,Indonesia
10952922,meowboi,8336,8821.66,,Germany
2984074,ming0328ming,1264,12175.7,,Hong Kong
7352655,Shizunaa,252528,3048.02,,Canada
929311,Soramon,23984,7088.72,,South Korea
11120124,Xqeer,406,14219.8,,Russian Federation
13726708,KROKSMAN,186062,3615.05,,Russian Federation
6643511,tplc,12572,8162.79,,Germany
10168682,Cindergoat,77254,5176.38,,Hong Kong
7295276,_Suyong,10709,8426.48,,South Korea
7588992,TheTopaz,11139,8362.14,,Australia
4531953,Kaguya_1096,6374,9297.2,,China
14139392,Bazingasdead,1039,12501.7,,United States
7083079,Somniloquy,9417,8624.02,,China
1285945,PeteX,2306,11046.5,,Slovakia
8401053,Tangela Merkel,6442,9276.21,,Germany
12849730,Miinn_,3565,10284.3,,Vietnam
5394681,Boolmaster Flex,29491,6752.05,,United States
16679145,uragirarete,11139,8361.44,,United States
17697722,big door,11588,8294.81,,United States
12961837,Zedrikk,3652,10243.8,,United States
9387696,Goose King,7074,9103.5,,Netherlands
19124145,Ang,94965,4832.3,,Russian Federation
13910645,RoboTronix,9391,8631.03,,United Kingdom
14263023,hein on osu,5247,9631.85,,Netherlands
10749048,Pot2fleur T-T,58530,5628.93,,France
13467691,Naiwo,912,12709.5,,Germany
18207356,-lexi,44755,6072.1,,United States
13134331,[Ice],7208,9071.36,,United Kingdom
8942753,typo,18818,7484.53,,Norway
12728547,miss yo,5430,9570.41,,Peru
19570580,The Rat,65471,5446.22,,United States
9324845,Einfachmilky,30982,6673.14,,Switzerland
12078117,FaltoS,4209,10019.4,,France
12675978,Pagoz,3598,10268.6,,Spain
8191845,Stage,6140,9360.7,,United States
11195133,Jake Boii,2895,10634.3,,Slovakia
27761185,vortexta,106970,4631.45,,Australia
14394946,SOWEZ,60017,5587.76,,France
14260048,KOTEL0K,12170,8215.43,,Russian Federation
10515166,SergoM4444,24297,7068.87,,Russian Federation
11821951,Perfectity,67654,5393.87,,United States
14238097,Fuwub,84596,5024.62,,Singapore
17566163,Maggi3,320695,2612.29,,Russian Federation
16108854,zay1000,57037,5672.25,,United States
2779077,Jayson Todd,9192,8663.54,,United States
27214431,doubleclick,154447,3963.77,,Russian Federation
13003552,Spell,127644,4319.66,,Japan
15038779,Dicha,7029,9111.78,,South Korea
5345150,oumae,50526,5871.36,,Israel
19010486,LPhantom,83122,5052.77,,Germany
12306743,Panino Magico,8479,8789.89,,Italy
9984244,garab1k,2645,10785.0,,Russian Federation
10853878,Louis Marble,61280,5554.03,,Singapore
17381947,plush seal,351708,2448.29,,Russian Federation
9246948,Zyzinshtein,81642,5082.29,,Belarus
4784772,Nuage,4856,9761.38,,France
14674958,Getti,6611,9226.15,,United States
19662107,Tiffancy,13985,7988.24,,Germany
11414385,Oulwan,29177,6769.8,,Russian Federation
10479369,OsmiumD,61783,5540.46,,China
17104779,Barbone,96,16924.3,,France
12517814,Hoshi13,121231,4412.94,,Russian Federation
14459355,GamesinVanes,31584,6641.08,,Jordan
9961301,TESTER PIVKA,402,14238.1,,Russian Federation
7169208,Nozdormu,89371,4933.53,,Russian Federation
10849508,YuskasUwU,9179,8666.07,,Spain
30509546,hukaku,98461,4770.25,,Russian Federation
20971891,AbbeyChan6203,35966,6428.52,,Hong Kong
12955808,Angicun,238832,3151.26,,Russian Federation
13516784,Dreaming-,23019,7158.43,,Malaysia
10479710,uadfb75t6hst,5877,9435.21,,Hong Kong
12713821,snowfort,6095,9373.13,,Israel
19940543,Eggnep,41937,6174.99,,Philippines
8057369,drozdovianempe,44579,6078.43,,Russian Federation
21949024,DlMA SAVELlEV,30050,6722.04,,Belarus
10035482,Kobra_TF,58582,5627.57,,Russian Federation
16322001,Telegy,12728,8142.08,,Netherlands
16186982,Snaydeer,12708,8143.47,,Peru
23037107,Tanjiji,118688,4450.39,,Malaysia
19568517,silversnax,11330,8335.38,,Russian Federation
9269034,Accolibed,2,25927.2,,United Kingdom
17010453,BlueRo,13989,7987.83,,India
12322135,BruhMoment,4095,10060.4,,India
11186709,Rijrya,1404,11946.1,,Canada
12431879,Skerean,133512,4238.01,,Russian Federation
13256086,hsdxdfan39,30387,6705.24,,Canada
16962493,Ancelot,58675,5625.56,,Bolivia
13303993,-Nervi,69562,5348.7,,Russian Federation
17996877,retot,16652,7686.47,,Indonesia
7127366,Shaun,4052,10077.9,,United States
20435329,begl,20007,7384.99,,United States
4388347,striFE36,3102,10509.3,,China
16062861,FuMo79,90486,4913.1,,Russian Federation
16331492,[Z z],7450,9015.75,,South Korea
17908427,Icun,17416,7610.84,,Indonesia
14800198,stone_bream,9690,8576.94,,Japan
20549600,Konzid,9677,8580.21,,United Kingdom
10754758,Crazy_RU,1217,12238.4,,Russian Federation
126144,Nezzar,849,12869.1,,Hong Kong
9024028,schlafen gehen,10368,8478.03,,Germany
18508111,-Yu_Na,30960,6675.4,,South Korea
11799961,RNG Dice,19644,7414.32,,South Korea
13997282,Biggest Shark,37933,6338.89,,Taiwan
13256419,LimeSeptum,75639,5211.21,,China
14090438,UnveiledGolem,8631,8762.95,,Netherlands
15525103,bradder1eggs,1091,12433.5,,Poland
11548479,ZestyTea,2879,10646.8,,Norway
7883144,karhqo,84828,5019.62,,Switzerland
14442548,Rimor,2661,10773.8,,United States
17910044,Akagii,12057,8229.28,,Vietnam
21574224,WeederBoss0,3152,10484.2,,Netherlands
7027766,Peresia,93,16961.0,,South Korea
4734703,NathanRam1918,264,15042.2,,Philippines
11266889,Koress,27921,6840.36,,Poland
5643819,-Cocoy,41854,6178.77,,Austria
6264206,kemdaosa,1925,11364.4,,Taiwan
18656220,_Vimoto,237179,3164.37,,Kuwait
9229968,GG_com2016,29619,6743.4,,Malaysia
21112285,hyansir,26096,6951.42,,India
11073207,squidstain,13423,8054.83,,Malaysia
6942259,Rebo,293,14807.5,,Uruguay
16626263,hiyah,2215,11116.3,,United States
10408325,Keyz,7549,8994.78,,Argentina
3834721,ggfwk,9632,8585.75,,Hong Kong
3594368,Katie Hopkins,68473,5372.71,,United Kingdom
15266841,EpicPotatoSpoon,26335,6935.9,,United States
10239833,Boxsnake,16567,7694.64,,United States
13459462,SomeBoi,26050,6954.08,,Peru
16768757,minimundos,93388,4860.24,,Brazil
22413355,wwwwwpeko,42071,6169.79,,Taiwan
15334533,Daldor,6355,9300.86,,Peru
2110845,Rlsc,391,14311.6,,Hong Kong
11050517,WITSCHIEEE,8873,8719.54,,Germany
25785218,Pixelliorg,64468,5471.38,,Switzerland
21092516,Jia_,22012,7227.42,,Taiwan
11839088,HappyForeks,15800,7773.97,,Poland
16374194,ShotZ5,13376,8062.75,,Portugal
10781075,Arumina_,5069,9686.23,,Russian Federation
20138244,good girl,83385,5047.79,,United States
18088763,Tomasoth,13237,8077.01,,Peru
9192097,Akmz,46001,6027.52,,Kazakhstan
7873393,Azeylum,25527,6986.74,,United States
16194858,Discord,81628,5082.5,,South Korea
14262486,MentalMoose,14809,7887.08,,Belgium
15256896,foe,18405,7519.99,,United States
10844558,BringTheChaos,18047,7551.34,,Greece
12201636,rety,3851,10165.0,,United States
10204748,hrds,5675,9496.22,,Russian Federation
9323778,Nelou,54787,5737.41,,France
21063873,virtualize,314386,2647.34,,Belgium
4522293,_railgun,24217,7073.82,,Russian Federation
15225729,-izzy,188,15745.0,,Brazil
14806612,Sinyan,24713,7040.79,,Türkiye
15262479,IsThatDecay,10237,8498.3,,United States
14684430,Ievi-,2246,11091.9,,Türkiye
15461531,holub,14047,7979.11,,Czechia
8767392,ILOVEMARISA,25414,6994.82,,South Korea
19084209,[Mexico],4045,10084.2,,Mexico
12529846,HERNANDEEEEEEEZ,1256,12178.5,,France
4673649,-Schwarts,3185,10472.7,,United States
8642224,Konohana Lucia,117124,4473.31,,Brazil
4830687,BoshyMan741,324,14655.6,,United States
19311562,AsaelmasterHola,595475,1534.06,,Mexico
2590257,wudci,91,17013.9,,United States
2305984,boncuss,12318,8197.19,,Canada
12958376,2010cHerP_KZ,472,13933.9,,Germany
10060138,SidFj,69102,5358.38,,Russian Federation
11509631,Hagawobla,320,14675.6,,United States
17157790,localyrated,14756,7892.35,,Russian Federation
6661913,AstroFP,816,12954.8,,Poland
8926244,Kahli,1116,12389.2,,United States
15252736,Unibrick,4472,9903.44,,Singapore
10069909,DEETO,660,13344.3,,Indonesia
4033022,blejd,488,13878.3,,Poland
18061625,Vestiaa,77951,5161.05,,United States
14758501,jellium,5321,9605.24,,United States
1981187,Santeri,2604,10813.0,,Finland
15897699,Tonhao,3842,10167.8,,Brazil
1199823,Met,189048,3585.33,,Poland
13065919,R1cho,243,15240.2,,Argentina
4383356,- S h y r e -,39573,6271.32,,Panama
3394696,Salvotore,2756,10723.0,,Thailand
5144534,Dawnwing,1597,11708.9,,Singapore
12925539,butter dog,8716,8744.56,,United Kingdom
18131614,polski1,1948,11337.7,,United Kingdom
22295165,j1nkso,26289,6938.68,,Ukraine
17979410,Aoi Hinami,93412,4860.32,,Indonesia
10038631,Geanyl,5587,9522.76,,Philippines
15442452,mvzxw2,10970,8387.08,,Russian Federation
12182138,ShivielMyMommy,26207,6943.57,,Argentina
8624512,Gazzzaa,6839,9163.5,,United Kingdom
3068044,Dumii,388,14320.4,,Australia
11646616,-Gardevoir-,8057,8882.58,,Peru
11339614,Marcu,14166,7961.7,,Australia
13596160,gheanfoil,615,13467.4,,Türkiye
8928890,Stylante,3347,10390.4,,United Kingdom
6469095,Grysha,17996,7554.61,,Peru
9306679,Yorunaga,13418,8057.88,,Brazil
16967010,lurrzy,4367,9949.36,,Russian Federation
10890088,Ruby15,20497,7345.32,,South Korea
13323039,Shiroshika,2206,11129.0,,Russian Federation
11350021,Wanna Accuracy,91294,4898.21,,China
6801297,Webster,7002,9118.54,,Russian Federation
10785605,Tenta,5656,9502.61,,Poland
20605671,fries0927,109531,4590.1,,Taiwan
28198007,GGImpossible,34124,6513.61,,United States
20928086,chromik,87627,4965.33,,Czechia
18782434,ILUVLEBANON,,0,,Lebanon
19430137,AlexBelea,1758,11525.9,,Romania
