UserID,Username,GlobalRank,PP,RME,Location
5286213,Deppyforce,1494,11818.9,,Thailand
11688228,updraft,4315,9974.5,,Vietnam
1041943,Zeisen,813,12962.9,,South Korea
17929610,NuggiesMyMommy,26598,6921.1,,United States
5247450,Mirei Hayasaka,453,14016.1,,South Korea
21847711,Dichlorocarbene,38425,6318.27,,China
9323821,hedayo,5447,9564.52,,Poland
16748549,Thinhhhh,21310,7281.51,,Vietnam
1219357,Zeranium,11984,8239.56,,South Korea
17950866,Kreo Lzz,10755,8419.5,,Chile
15232819,dainotwibu,45329,6049.31,,Vietnam
20160331,ReutoMyMommy,49325,5911.45,,Indonesia
13026904,tyrcs,280138,2855.74,,China
6503843,st881002000,112692,4540.86,,Taiwan
13437541,RABBIT3,21677,7253.88,,China
7892320,-Restia,75,17347.8,,South Korea
10516802,Jotmo,3724,10212.3,,South Korea
9235127,RedLen,73070,5268.67,,Indonesia
3016611,[ baka 3b ],3569,10284.3,,China
10910261,Hu_Ai,14225,7953.83,,Malaysia
5413624,Hibiki,1185,12284.7,,Hong Kong
2361632,My Suck Aim,14733,7893.74,,China
7175234,-Hermit-,14332,7940.6,,China
8929394,Ariu,5017,9707.16,,France
18255560,colourmemory,971319,860.362,,China
6433474,KortezR,5861,9439.0,,Belarus
1433427,myhan3,9259,8651.64,,South Korea
18075313,Neicho,57566,5657.21,,Chile
17636719,Scawroad,49651,5901.07,,Türkiye
11168465,Muneni,34012,6518.62,,Vietnam
9902622,kirkirs,5084,9683.13,,Singapore
14452800,Mystrality,9953,8540.12,,United Kingdom
19372348,xrsclxch,197008,3511.28,,Germany
15749971,[Maxy],14820,7885.93,,France
25735838,Ramside,113637,4526.06,,Kazakhstan
25574904,Moe_Tac,172406,3757.28,,Germany
13640072,johnpaul420,23679,7109.43,,United Kingdom
16716753,Typeddiamond,2436,10932.0,,United States
9548110,Saturas,11904,8251.0,,Poland
139670,Vendemmia,745,13129.0,,South Korea
14030918,i luv Nadeshiko,79562,5126.02,,Vietnam
28901730,agato,84997,5016.56,,Indonesia
12388002,[ Neta ],70022,5337.51,,Taiwan
