UserID,Username,GlobalRank,PP,RME,Location
11820235,Zevzs,30676,6687.55,,Latvia
14812640,Sunless_,9734,8572.08,,Lithuania
19453671,Noobicep192,22308,7206.77,,Netherlands
5878947,hanmaa,146522,4064.2,,Brazil
12200180,cozyin,9865,8550.2,,Netherlands
6986661,sxrvyr,12427,8182.57,,Serbia
13681283,HEAVENLY MOON,14578,7910.68,,Ireland
12306030,Mables,3402324,39.9551,,United States
10760717,RussianKot,459424,1973.79,,Kazakhstan
10783239,Axeslayer,4093,10062.2,,United States
10099005,slynna,294,14801.9,,Argentina
18914421,Tankxd,93941,4850.15,,United States
11244176,Tamsoot,4542,9868.46,,Israel
20455495,SammyM4t,61920,5537.17,,Bolivia
10900324,steamedmemes,39574,6271.19,,United States
30485380,nominomu,75484,5214.44,,Australia
22733201,serumanoo,145427,4079.37,,Brazil
7718976,_Edusam,8836,8725.97,,Guatemala
31499326,kiarin,155638,3949.58,,Brazil
8850151,MonsterRK,26300,6937.98,,Mexico
16864309,Phoenix98,1883,11412.1,,United States
14852608,[ Wily ],37582,6354.1,,Brazil
11482346,Chiffa,4354,9954.89,,Russian Federation
18662887,NoItsDee,60495,5575.25,,United States
18850934,GoooDKung,91039,4902.82,,Thailand
4154071,Volta,663388,1366.83,,Indonesia
28141384,Bauer_Braunsi,241759,3128.69,,Germany
1011240,[Nico],160635,3888.84,,Chile
12773526,illyria,67260,5402.81,,United States
11722330,In a bag,41628,6187.69,,United States
13471152,onyo,38861,6300.45,,United States
13606756,RavGX,12102,8223.18,,Indonesia
13602611,picleric,13794,8010.02,,Russian Federation
9935532,Nurbieone,18244,7535.64,,Russian Federation
10278243,SadEgg,759784,1169.95,,Canada
10172273,saintmeao,8216,8848.36,,Finland
20671567,C1ore,26445,6929.23,,China
2455926,Nikaido Shinku,636490,1429.48,,Taiwan
7528685,Hiken,24746,7038.28,,Greece
16089939,Zpatrik15,116880,4476.63,,Hungary
20020833,s13,34398,6500.59,,United States
18365113,mirinshoyu,39517,6273.61,,Japan
19370739,-InoruCat-,196073,3519.84,,Taiwan
10159050,EssentialAsPeCt,14740,7893.52,,United States
7682000,trolingFACE,26372,6933.27,,Poland
5194043,Marzale,46880,5997.02,,Poland
6467693,Kebab De Poche,10593,8442.23,,France
15752211,[RUE]Madnace,1229267,617.491,,France
20354694,chi,9198,8661.94,,Russian Federation
12921379,Arkshine,63951,5484.56,,China
11059180,MitzaSL,38118,6330.35,,Romania
25117537,Ph0xie,1226257,619.792,,United Arab Emirates
30979400,Szofiianne,383417,2296.44,,Hungary
2145160,Shimoe Koharu,39203,6286.67,,Taiwan
13332111,das12344321,58276,5636.47,,Poland
12132947,skarraN,48063,5956.2,,Russian Federation
6137822,Smaul,19991,7386.38,,Sweden
9802597,ImBordd,79414,5129.33,,United Kingdom
16098755,-Spyke,25557,6985.36,,United States
10881788,i love cats,45250,6052.48,,Russian Federation
24755680,Sh1ZuNara,44114,6094.94,,Taiwan
23507326,matt123,6210,9341.29,,Canada
31063760,RicRoll,269299,2929.0,,Russian Federation
15008816,renkui,87206,4972.86,,Brazil
10847395,UUUUUUUUUUUUU,151748,3999.4,,United States
4105924,[H a c k e d],42148,6166.6,,Germany
12210068,Cand-,28300,6820.15,,United Kingdom
19058771,Bumeris,257919,3009.8,,Lithuania
17277815,ItsMellow,37518,6356.74,,Canada
20293186,Fliwo,16767,7675.97,,United States
11973153,Sekk_,81706,5080.87,,Argentina
16586211,baris6692,175757,3720.89,,Türkiye
18625225,tanaka678,133963,4231.81,,Brazil
30986946,oreguinho,103960,4679.21,,Brazil
6633574,Shiho desu,3419,10353.2,,Chile
